time,B
"17,6182402777778","-1,01"
"17,6182488888889","-0,92"
"17,6182575","-0,97"
"17,6182661111111","-1,19"
"17,618275","-1,27"
"17,6182836111111","-1,48"
"17,6182922222222","-1,58"
"17,6183008333333","-1,64"
"17,6183097222222","-1,43"
"17,6183183333333","-1,38"
"17,6183269444444","-1,12"
"17,6183355555556","-1,01"
"17,6183444444444","-0,84"
"17,6183530555556","-0,95"
"17,6183616666667","-1,07"
"17,6183702777778","-1,02"
"17,6183791666667","-1,08"
"17,6183877777778","-1,11"
"17,6183963888889","-1,04"
"17,618405","-1,15"
"17,6184138888889","-1,36"
"17,6184225","-1,19"
"17,6184311111111","-1,29"
"17,6184397222222","-1,35"
"17,6184486111111","-1,15"
"17,6184572222222","-1,08"
"17,6184658333333","-1,01"
"17,6184744444444","-1,02"
"17,6184833333333","-1,04"
"17,6184919444444","-1,06"
"17,6185005555556","-1,05"
"17,6185091666667","-1,09"
"17,6185180555556","-1,07"
"17,6185266666667","-1,05"
"17,6185352777778","-0,95"
"17,6185438888889","-0,84"
"17,6185527777778","-0,82"
"17,6185613888889","-0,72"
"17,61857","-0,76"
"17,6185786111111","-0,65"
"17,6185875","-0,67"
"17,6185961111111","-0,66"
"17,6186047222222","-0,6"
"17,6186133333333","-0,61"
"17,6186222222222","-0,69"
"17,6186308333333","-0,82"
"17,6186394444444","-0,86"
"17,6186480555556","-1,03"
"17,6186569444444","-1,09"
"17,6186655555556","-1,1"
"17,6186741666667","-1,07"
"17,6186827777778","-1,03"
"17,6186916666667","-0,99"
"17,6187002777778","-0,96"
"17,6187088888889","-0,99"
"17,6187175","-0,8"
"17,6187263888889","-0,76"
"17,618735","-0,85"
"17,6187436111111","-0,77"
"17,6187522222222","-0,67"
"17,6187611111111","-0,78"
"17,6187697222222","-0,78"
"17,6187783333333","-0,78"
"17,6187869444444","-0,76"
"17,6187958333333","-0,75"
"17,6188044444444","-0,61"
"17,6188130555556","-0,46"
"17,6188216666667","-0,51"
"17,6188305555556","-0,5"
"17,6188391666667","-0,42"
"17,6188477777778","-0,43"
"17,6188563888889","-0,46"
"17,6188652777778","-0,53"
"17,6188738888889","-0,59"
"17,6188825","-0,63"
"17,6188911111111","-0,68"
"17,6189","-0,63"
"17,6189086111111","-0,68"
"17,6189172222222","-0,61"
"17,6189258333333","-0,73"
"17,6189347222222","-0,71"
"17,6189433333333","-0,9"
"17,6189519444444",-1
"17,6189605555556","-1,11"
"17,6189694444444","-1,19"
"17,6189780555556","-1,2"
"17,6189866666667","-1,36"
"17,6189952777778","-1,24"
"17,6190041666667","-1,34"
"17,6190127777778","-1,39"
"17,6190213888889","-1,36"
"17,61903","-1,49"
"17,6190388888889","-1,51"
"17,6190475","-1,32"
"17,6190561111111","-1,22"
"17,6190647222222","-1,21"
"17,6190736111111","-1,3"
"17,6190822222222","-1,19"
"17,6190908333333","-1,35"
"17,6190994444444","-1,31"
"17,6191083333333","-1,32"
"17,6191169444444","-1,29"
"17,6191255555556","-1,2"
"17,6191341666667","-1,11"
"17,6191430555556","-0,9"
"17,6191516666667","-0,91"
"17,6191602777778","-0,96"
"17,6191688888889","-0,86"
"17,6191777777778","-0,92"
"17,6191863888889","-1,06"
"17,619195","-1,17"
"17,6192036111111","-1,23"
"17,6192125","-1,15"
"17,6192211111111","-1,15"
"17,6192297222222","-1,26"
"17,6192383333333","-1,23"
"17,6192472222222","-1,12"
"17,6192558333333","-1,09"
"17,6192644444444",-1
"17,6192730555556","-0,86"
"17,6192819444444","-0,93"
"17,6192905555556","-1,03"
"17,6192991666667","-0,9"
"17,6193077777778","-1,02"
"17,6193166666667","-1,04"
"17,6193252777778","-1,1"
"17,6193338888889","-1,1"
"17,6193425","-1,06"
"17,6193513888889","-0,94"
"17,61936","-0,79"
"17,6193686111111","-0,91"
"17,6193772222222","-0,98"
"17,6193861111111","-1,01"
"17,6193947222222","-1,01"
"17,6194033333333","-1,05"
"17,6194119444444","-1,07"
"17,6194208333333","-1,11"
"17,6194294444444","-1,13"
"17,6194380555556","-1,11"
"17,6194466666667","-1,06"
"17,6194555555556","-1,02"
"17,6194641666667","-0,84"
"17,6194727777778","-0,52"
"17,6194813888889","-0,61"
"17,6194902777778","-0,49"
"17,6194988888889","-0,64"
"17,6195075","-0,59"
"17,6195161111111","-0,75"
"17,619525","-0,84"
"17,6195336111111","-0,98"
"17,6195422222222","-1,04"
"17,6195508333333","-1,12"
"17,6195597222222","-1,24"
"17,6195683333333","-1,14"
"17,6195769444444","-1,03"
"17,6195855555556","-1,04"
"17,6195944444444","-1,02"
"17,6196030555556","-1,28"
"17,6196116666667","-1,33"
"17,6196202777778","-1,42"
"17,6196291666667","-1,55"
"17,6196377777778","-1,45"
"17,6196463888889","-1,42"
"17,619655","-1,31"
"17,6196638888889","-1,18"
"17,6196725","-0,98"
"17,6196811111111","-0,85"
"17,6196897222222","-0,74"
"17,6196986111111","-0,61"
"17,6197072222222","-0,61"
"17,6197158333333","-0,63"
"17,6197244444444","-0,73"
"17,6197333333333","-0,76"
"17,6197419444444","-0,66"
"17,6197505555556","-0,67"
"17,6197591666667","-0,61"
"17,6197680555556","-0,7"
"17,6197766666667","-0,74"
"17,6197852777778","-0,84"
"17,6197938888889","-0,88"
"17,6198027777778","-0,9"
"17,6198113888889","-0,84"
"17,61982","-0,85"
"17,6198286111111","-0,74"
"17,6198375","-0,73"
"17,6198461111111","-0,68"
"17,6198547222222","-0,75"
"17,6198633333333","-0,78"
"17,6198722222222","-0,79"
"17,6198808333333","-0,9"
"17,6198894444444","-1,03"
"17,6198980555556","-1,04"
"17,6199069444444","-1,11"
"17,6199155555556","-1,12"
"17,6199241666667","-1,14"
"17,6199327777778","-1,17"
"17,6199416666667","-1,11"
"17,6199502777778","-0,97"
"17,6199588888889","-0,91"
"17,6199675","-0,78"
"17,6199763888889","-0,67"
"17,619985","-0,77"
"17,6199936111111","-0,7"
"17,6200022222222","-0,99"
"17,6200111111111","-0,95"
"17,6200197222222","-1,05"
"17,6200283333333","-1,04"
"17,6200369444444","-0,91"
"17,6200458333333","-0,76"
